"","Odds","Odds_id"
"1","6/4",1
"2","7/4",2
"3","7/1",3
"4","12/1",4
"5","16/1",5
"6","22/1",6
"7","25/1",7
"8","22/1",8
"9","80/1",9
"10","250/1",10
"11","250/1",11
"12","6/4",12
"13","7/4",13
"14","7/1",14
"15","11/1",15
"16","20/1",16
"17","22/1",17
"18","22/1",18
"19","28/1",19
"20","50/1",20
"21","125/1",21
"22","125/1",22
"23","6/4",23
"24","7/4",24
"25","7/1",25
"26","8/1",26
"27","18/1",27
"28","20/1",28
"29","20/1",29
"30","25/1",30
"31","40/1",31
"32","100/1",32
"33","100/1",33
"34","6/4",34
"35","7/4",35
"36","7/1",36
"37","12/1",37
"38","20/1",38
"39","20/1",39
"40","20/1",40
"41","25/1",41
"42","50/1",42
"43","150/1",43
"44","150/1",44
"45","6/4",45
"46","7/4",46
"47","7/1",47
"48","8/1",48
"49","18/1",49
"50","20/1",50
"51","20/1",51
"52","25/1",52
"53","40/1",53
"54","100/1",54
"55","100/1",55
"56","6/4",56
"57","13/8",57
"58","7/1",58
"59","10/1",59
"60","16/1",60
"61","20/1",61
"62","20/1",62
"63","25/1",63
"64","50/1",64
"65","100/1",65
"66","100/1",66
"67","6/4",67
"68","7/4",68
"69","15/2",69
"70","12/1",70
"71","20/1",71
"72","22/1",72
"73","25/1",73
"74","28/1",74
"75","80/1",75
"76","250/1",76
"77","250/1",77
"78","6/4",78
"79","6/4",79
"80","6/1",80
"81","9/1",81
"82","20/1",82
"83","20/1",83
"84","20/1",84
"85","25/1",85
"86","50/1",86
"87","100/1",87
"88","100/1",88
"89","6/4",89
"90","7/4",90
"91","7/1",91
"92","12/1",92
"93","16/1",93
"94","20/1",94
"95","20/1",95
"96","25/1",96
"97","66/1",97
"98","150/1",98
"99","100/1",99
"100","6/4",100
"101","13/8",101
"102","7/1",102
"103","10/1",103
"104","16/1",104
"105","16/1",105
"106","20/1",106
"107","20/1",107
"108","66/1",108
"109","150/1",109
"110","125/1",110
"111","6/4",111
"112","7/4",112
"113","7/1",113
"114","12/1",114
"115","20/1",115
"116","20/1",116
"117","20/1",117
"118","25/1",118
"119","66/1",119
"120","150/1",120
"121","125/1",121
"122","6/4",122
"123","7/4",123
"124","15/2",124
"125","10/1",125
"126","20/1",126
"127","20/1",127
"128","20/1",128
"129","28/1",129
"130","50/1",130
"131","80/1",131
"132","66/1",132
"133","11/8",133
"134","7/4",134
"135","7/1",135
"136","12/1",136
"137","20/1",137
"138","22/1",138
"139","25/1",139
"140","25/1",140
"141","40/1",141
"142","200/1",142
"143","200/1",143
"144","6/4",144
"145","7/4",145
"146","7/1",146
"147","11/1",147
"148","20/1",148
"149","20/1",149
"150","20/1",150
"151","25/1",151
"152","50/1",152
"153","150/1",153
"154","150/1",154
"155","6/4",155
"156","13/8",156
"157","13/2",157
"158","10/1",158
"159","20/1",159
"160","20/1",160
"161","20/1",161
"162","25/1",162
"163","66/1",163
"164","125/1",164
"165","125/1",165
"166","13/8",166
"167","7/4",167
"168","7/1",168
"169","12/1",169
"170","22/1",170
"171","22/1",171
"172","20/1",172
"173","25/1",173
"174","66/1",174
"175","200/1",175
"176","200/1",176
"177","11/8",177
"178","13/8",178
"179","7/1",179
"180","11/1",180
"181","20/1",181
"182","20/1",182
"183","20/1",183
"184","25/1",184
"185","50/1",185
"186","200/1",186
"187","150/1",187
"188","6/4",188
"189","7/4",189
"190","7/1",190
"191","11/1",191
"192","20/1",192
"193","20/1",193
"194","22/1",194
"195","25/1",195
"196","66/1",196
"197","150/1",197
"198","150/1",198
"199","6/4",199
"200","7/4",200
"201","7/1",201
"202","10/1",202
"203","20/1",203
"204","20/1",204
"205","20/1",205
"206","25/1",206
"207","50/1",207
"208","100/1",208
"209","100/1",209
"210","6/4",210
"211","13/8",211
"212","7/1",212
"213","10/1",213
"214","16/1",214
"215","16/1",215
"216","20/1",216
"217","20/1",217
"218","66/1",218
"219","150/1",219
"220","125/1",220
"221","6/4",221
"222","7/4",222
"223","7/1",223
"224","11/1",224
"225","20/1",225
"226","20/1",226
"227","22/1",227
"228","25/1",228
"229","66/1",229
"230","150/1",230
"231","150/1",231
"232","13/8",232
"233","7/4",233
"234","7/1",234
"235","12/1",235
"236","20/1",236
"237","20/1",237
"238","25/1",238
"239","25/1",239
"240","50/1",240
"241","100/1",241
"242","100/1",242
"243","6/4",243
"244","7/4",244
"245","7/1",245
"246","11/1",246
"247","20/1",247
"248","20/1",248
"249","22/1",249
"250","25/1",250
"251","66/1",251
"252","150/1",252
"253","150/1",253
"254","7/5",254
"255","9/5",255
"256","38/5",256
"257","62/5",257
"258","88/5",258
"259","23/1",259
"260","18/1",260
"261","23/1",261
"262","45/1",262
"263","89/1",263
"264","161/1",264
"265","7/5",265
"266","7/4",266
"267","41/5",267
"268","68/5",268
"269","89/5",269
"270","21/1",270
"271","22/1",271
"272","21/1",272
